feature,importance
high,0.21420915192943446
low,0.19497978846941674
open,0.16808503927016744
close,0.13482925970563475
ma_5,0.07910845555098993
close_lag2,0.056538356354041974
close_lag1,0.05629145673343113
ma_10,0.05229309437397335
ma_20,0.024288943279724643
daily_return,0.0027976166171839044
volume,0.0026693649604344594
volatility_5,0.002534135165790628
close_open_diff,0.002500806964829336
volatility_10,0.0024876565006038895
return_lag1,0.002323084485619709
return_lag2,0.0020652522700346505
price_range,0.0019985336372456562
