feature,importance
high,0.27403226662047053
low,0.18426514257277762
close,0.15161769829538405
open,0.13539574732433776
close_lag1,0.056852214485026746
ma_10,0.052273694311781804
ma_20,0.05097948200525526
ma_5,0.04243493458370165
close_lag2,0.021010773213656277
volatility_10,0.00441294463175558
daily_return,0.004399535458829558
return_lag2,0.004046657255123731
volume,0.003988171350305938
close_open_diff,0.003914610162610188
volatility_5,0.003678125501562822
return_lag1,0.003499639418916967
price_range,0.0031983617286920093
